artist_ID,average tempo, average duration,average danceability
844,127.99,433618.0,0.68
845,140.25,103838.0,0.6
846,136.94,189333.0,0.45
847,128.01,362057.2,0.82
848,84.86,216026.5,0.29
849,175.68,172000.0,0.2
850,103.09,134126.3,0.66
851,133.23,218800.0,0.28
852,78.03,123207.0,0.28
853,130.59,193006.5,0.66
854,102.7,190691.1,0.51
855,72.28,220773.0,0.3
856,126.44,521163.1,0.78
857,118.82,197012.7,0.58
858,110.06,222253.0,0.48
859,127.99,526626.0,0.7
860,115.42,207420.0,0.51
861,127.0,332906.0,0.85
862,104.99,252779.0,0.81
863,144.67,295061.0,0.61
864,160.38,330919.0,0.48
865,101.09,344900.0,0.59
866,129.06,293387.0,0.61
867,126.04,256560.0,0.58
868,121.3,259560.0,0.43
869,127.01,573000.0,0.76
870,128.0,360013.0,0.8
871,127.99,652564.0,0.75
872,126.02,430576.0,0.8
873,131.01,34000.0,0.52
874,94.47,88259.0,0.69
875,124.02,176147.0,0.65
876,127.98,322502.0,0.64
877,93.99,184738.0,0.74
878,128.02,223112.0,0.63
879,128.01,452403.0,0.73
880,124.03,245806.3,0.78
881,131.89,116406.0,0.5
882,130.0,211817.0,0.39
883,140.0,345876.0,0.77
884,127.97,195044.0,0.63
885,129.93,207692.5,0.48
886,126.49,384190.0,0.81
887,132.02,59449.3,0.48
888,101.27,274356.8,0.48
889,131.05,66000.0,0.61
890,140.9,255319.0,0.57
891,135.48,127362.1,0.48
892,146.07,272533.0,0.61
893,133.09,222746.0,0.66
894,138.03,391307.0,0.7
895,121.27,312320.0,0.68
896,129.96,36938.0,0.43
897,122.96,223070.0,0.85
898,126.04,224762.0,0.65
899,140.0,449610.0,0.55
900,112.85,166418.8,0.5
901,132.98,515731.0,0.73
902,115.0,321391.0,0.74
903,122.55,3236368.0,0.73
904,128.01,378768.0,0.8
905,125.97,194406.0,0.64
906,170.81,209170.0,0.69
907,123.9,245329.1,0.77
908,132.03,231613.0,0.61
909,92.02,313640.0,0.69
910,130.02,107584.3,0.42
911,128.28,138338.5,0.47
912,120.01,330063.0,0.75
913,128.06,127538.0,0.69
914,84.34,202884.3,0.49
915,122.94,281400.3,0.59
916,167.79,346533.0,0.35
917,130.01,400227.0,0.69
918,110.01,541968.0,0.46
919,110.01,384000.0,0.55
920,109.12,234696.8,0.52
921,53.29,113113.0,0.21
922,172.03,311163.0,0.44
923,105.01,279745.0,0.8
924,94.98,203827.0,0.64
925,80.48,179566.8,0.37
